date,open,high,low,close,volume,ticker,exchange,trade
2020-10-25,13106.95,13344.21,12893.93,13025.11,140.651331,BTC/USDT,Binance,1
2020-10-26,13032.8,13229.63,12772.58,13062.42,128.888493,BTC/USDT,Binance,1
2020-10-27,13054.78,13786.29,13047.35,13634.68,164.746622,BTC/USDT,Binance,1
2020-10-28,13634.29,13853.49,12904.63,13281.6,167.828912,BTC/USDT,Binance,1
2020-10-29,13267.84,13641.89,12980.0,13441.16,149.862522,BTC/USDT,Binance,1
2020-10-30,13453.21,13664.48,13120.56,13559.91,166.81886,BTC/USDT,Binance,1
2020-10-31,13560.0,14091.73,13425.16,13799.01,146.758494,BTC/USDT,Binance,1
2020-11-01,13779.65,13886.42,13629.62,13749.69,49.02653,BTC/USDT,Binance,1
2020-11-02,13758.45,13826.8,13201.67,13572.31,150.251675,BTC/USDT,Binance,1
2020-11-03,13563.01,14067.12,13300.0,14013.83,133.245653,BTC/USDT,Binance,1
2020-11-04,14018.0,14247.19,13540.77,14141.89,198.083696,BTC/USDT,Binance,1
2020-11-05,14147.64,15754.48,14097.27,15589.43,257.667349,BTC/USDT,Binance,1
2020-11-06,15585.47,15966.08,15182.77,15569.24,261.716315,BTC/USDT,Binance,1
2020-11-07,15569.4,15755.88,14366.05,14817.32,322.715463,BTC/USDT,Binance,1
2020-11-08,14806.61,15653.9,14706.58,15479.82,139.915455,BTC/USDT,Binance,1
2020-11-09,15512.86,15839.35,14816.86,15323.85,248.022834,BTC/USDT,Binance,1
2020-11-10,15331.79,15453.12,15079.11,15296.25,95.258671,BTC/USDT,Binance,1
2020-11-11,15299.1,15961.88,15280.6,15695.0,133.311825,BTC/USDT,Binance,1
2020-11-12,15704.1,16337.86,15456.66,16284.38,246.024222,BTC/USDT,Binance,1
2020-11-13,16312.14,16467.19,15949.83,16324.84,128.256208,BTC/USDT,Binance,1
2020-11-14,16288.11,16294.17,15714.28,16060.48,92.197255,BTC/USDT,Binance,1
2020-11-15,16072.67,16159.59,15779.45,15948.47,35.504029,BTC/USDT,Binance,1
2020-11-16,15937.16,16883.95,15873.74,16702.53,141.915282,BTC/USDT,Binance,1
2020-11-17,16709.18,17851.64,16552.05,17664.52,282.074364,BTC/USDT,Binance,1
2020-11-18,17654.86,18465.87,17231.66,17776.29,462.331759,BTC/USDT,Binance,1
2020-11-19,17806.97,18175.37,17348.97,17811.0,139.761269,BTC/USDT,Binance,1
2020-11-20,17802.91,18808.03,17752.87,18648.05,209.556679,BTC/USDT,Binance,1
2020-11-21,18664.75,18961.89,18332.83,18690.39,173.283192,BTC/USDT,Binance,1
2020-11-22,18672.48,18746.93,17621.63,18431.25,220.48253,BTC/USDT,Binance,1
2020-11-23,18410.28,18761.43,18014.81,18368.93,193.948248,BTC/USDT,Binance,1
2020-11-24,18362.98,19416.29,18016.39,19157.11,268.147246,BTC/USDT,Binance,1
2020-11-25,19159.52,19486.66,18500.0,18732.46,221.091607,BTC/USDT,Binance,1
2020-11-26,18718.36,18912.1,16217.12,17157.0,805.080083,BTC/USDT,Binance,1
2020-11-27,17164.49,17450.0,16453.41,17137.21,238.306009,BTC/USDT,Binance,1
2020-11-28,17139.08,17874.66,16867.66,17727.7,150.734238,BTC/USDT,Binance,1
2020-11-29,17722.16,18337.11,17525.71,18170.19,130.316145,BTC/USDT,Binance,1
2020-11-30,18183.08,19866.14,18183.08,19695.93,486.304343,BTC/USDT,Binance,1
2020-12-01,19698.3,19884.88,18087.28,18777.93,619.201227,BTC/USDT,Binance,1
2020-12-02,18765.52,19336.66,18332.52,19200.94,355.506234,BTC/USDT,Binance,1
2020-12-03,19197.51,19602.43,18873.45,19421.34,206.958027,BTC/USDT,Binance,1
2020-12-04,19406.98,19525.05,18577.93,18659.04,367.680353,BTC/USDT,Binance,1
2020-12-05,18645.45,19176.51,18500.0,19148.7,98.698618,BTC/USDT,Binance,1
2020-12-06,19137.36,19420.81,18864.86,19371.19,114.295754,BTC/USDT,Binance,1
2020-12-07,19381.11,19428.25,18905.46,19185.21,118.610672,BTC/USDT,Binance,1
2020-12-08,19186.32,19294.07,18188.89,18325.63,263.835347,BTC/USDT,Binance,1
2020-12-09,18321.22,18644.19,17653.54,18546.39,387.659275,BTC/USDT,Binance,1
2020-12-10,18545.62,18550.94,17930.0,18246.54,229.066809,BTC/USDT,Binance,1
2020-12-11,18251.96,18294.08,17566.6,18027.76,369.010743,BTC/USDT,Binance,1
2020-12-12,18032.18,18946.6,18023.06,18811.26,176.851898,BTC/USDT,Binance,1
2020-12-13,18808.78,19420.37,18711.27,19175.96,193.794492,BTC/USDT,Binance,1
2020-12-14,19170.85,19343.45,19007.14,19273.23,203.652912,BTC/USDT,Binance,1
2020-12-15,19279.38,19567.68,19056.5,19428.77,367.574565,BTC/USDT,Binance,1
2020-12-16,19434.32,21537.3,19284.48,21350.8,691.82997,BTC/USDT,Binance,1
2020-12-17,21341.2,23801.6,21235.72,22812.74,913.689501,BTC/USDT,Binance,1
2020-12-18,22814.55,23284.91,22351.06,23107.85,307.900695,BTC/USDT,Binance,1
2020-12-19,23114.04,24172.13,22761.33,23827.87,337.209001,BTC/USDT,Binance,1
2020-12-20,23817.99,24292.51,23081.64,23476.66,341.499371,BTC/USDT,Binance,1
2020-12-21,23460.94,24112.35,21959.66,22739.6,378.437064,BTC/USDT,Binance,1
2020-12-22,22731.75,23830.29,22381.0,23824.13,297.046971,BTC/USDT,Binance,1
2020-12-23,23816.25,24105.18,22600.0,23223.32,384.221958,BTC/USDT,Binance,1
2020-12-24,23227.24,23795.75,22710.57,23725.66,289.284576,BTC/USDT,Binance,1
2020-12-25,23733.42,24781.0,23433.62,24698.7,345.775419,BTC/USDT,Binance,1
2020-12-26,24713.78,26855.06,24489.33,26472.63,336.38024,BTC/USDT,Binance,1
2020-12-27,26507.22,28419.58,25820.0,26281.85,651.828424,BTC/USDT,Binance,1
2020-12-28,26280.53,27496.94,26099.46,27084.18,330.105349,BTC/USDT,Binance,1
